analytical,estimate [X],estimate [Y],estimate [Z],P [X],P [Y],P [Z],Cd [X],Cd [Y],Cd [Z],avg_steps,rand_count,
-0.0,0.010516750626266003,0.010516750626266003,0.010516750626266003,-1.0,0.0,0.0,0.5,0.4902622699737549,0.5097377300262451,60.771484375,2114796,
0.0,-0.00034240755485370755,-0.00034240755485370755,-0.00034240755485370755,1.2200566530227661,0.0,0.9450386762619019,0.5,0.5003170967102051,0.4996829330921173,152.908203125,5322628,
-0.0,0.005568711552768946,0.005568711552768946,0.005568711552768946,0.0,-1.0,0.0,0.5,0.49484384059906006,0.5051561594009399,72.80859375,2533880,
0.0,-0.01299479603767395,-0.01299479603767395,-0.01299479603767395,0.0,1.0,0.0,0.5,0.5120322704315186,0.48796775937080383,72.2734375,2515248,
0.0,-0.03880225494503975,-0.03880225494503975,-0.03880225494503975,1.0,0.0,0.0,0.5,0.5359280109405518,0.46407198905944824,114.212890625,3975412,
0.0,-0.023011408746242523,-0.023011408746242523,-0.023011408746242523,1.2200566530227661,0.0,-0.9450386762619019,0.5,0.5213068723678589,0.4786931574344635,155.5234375,5413680,
0.4999999701976776,0.44028928875923157,0.44028928875923157,0.44028928875923157,-0.7071067690849304,-0.7071067690849304,0.0,0.5,0.09232473373413086,0.9076752662658691,58.666015625,2041492,
-0.5311240553855896,-0.41062790155410767,-0.41062790155410767,-0.41062790155410767,0.7652409672737122,-0.6940611600875854,0.45839041471481323,0.5,0.8802109956741333,0.1197889968752861,96.3173828125,3352362,
-0.0,0.007439983543008566,0.007439983543008566,0.007439983543008566,-0.00022882541816215962,0.0,0.7860709428787231,0.5,0.49311113357543945,0.5068888664245605,78.5966796875,2735398,
0.5311240553855896,0.4133382737636566,0.4133382737636566,0.4133382737636566,0.7652409672737122,0.6940611600875854,0.45839041471481323,0.5,0.11727941036224365,0.8827205896377563,106.1259765625,3693858,
-0.4999999701976776,-0.4632837176322937,-0.4632837176322937,-0.4632837176322937,-0.7071067690849304,0.7071067690849304,0.0,0.5,0.9289664030075073,0.07103361189365387,66.5732421875,2316790,
-0.4999999701976776,-0.4113515019416809,-0.4113515019416809,-0.4113515019416809,0.7071067690849304,-0.7071067690849304,0.0,0.5,0.8808810114860535,0.11911899596452713,86.689453125,3017156,
0.0,-0.08831938356161118,-0.08831938356161118,-0.08831938356161118,1.1053756475448608,0.0,0.4744265377521515,0.5,0.5817772150039673,0.4182227849960327,113.166015625,3938964,
-0.5311240553855896,-0.41510719060897827,-0.41510719060897827,-0.41510719060897827,0.7652409672737122,-0.6940611600875854,-0.45839041471481323,0.5,0.8843585252761841,0.1156415045261383,96.8212890625,3369906,
0.0,-0.014181437902152538,-0.014181437902152538,-0.014181437902152538,1.1053756475448608,0.0,-0.4744265377521515,0.5,0.5131309628486633,0.48686903715133667,125.5224609375,4369166,
-0.0,-0.01601358875632286,-0.01601358875632286,-0.01601358875632286,-0.00022882541816215962,0.0,-0.7860709428787231,0.5,0.5148273706436157,0.4851726293563843,77.3818359375,2693102,
0.4999999701976776,0.3612115979194641,0.3612115979194641,0.3612115979194641,0.7071067690849304,0.7071067690849304,0.0,0.5,0.1655448079109192,0.8344551920890808,93.7138671875,3261718,
0.5311240553855896,0.38235047459602356,0.38235047459602356,0.38235047459602356,0.7652409672737122,0.6940611600875854,-0.45839041471481323,0.5,0.14597177505493164,0.8540282249450684,103.9833984375,3619262,
0.3535533845424652,0.34236031770706177,0.34236031770706177,0.34236031770706177,-0.3826834261417389,-0.9238795042037964,0.0,0.5,0.18299973011016846,0.8170002698898315,65.5029296875,2279526,
-0.4322342276573181,-0.3341028094291687,-0.3341028094291687,-0.3341028094291687,1.0759997367858887,-0.4017047584056854,0.6808820962905884,0.5,0.8093544244766235,0.19064556062221527,123.0908203125,4284506,
-0.0,0.017739757895469666,0.017739757895469666,0.017739757895469666,-0.5785029530525208,0.0,0.5231812000274658,0.5,0.4835742712020874,0.5164257287979126,64.353515625,2239508,
